J	15											
J_0	5											
I	197											
S	4											
K_f	3											
N	2											
												
J-ID	type	x	y	CL_j	CP_j(6-8W)	CF_j	theta_jk0	theta_jk1	theta_jk2	f_jk0	f_jk1	f_jk2
0	1	1005088.357	220282.0799	2230358.647	74887.49992	0	0	0.42	0.52	2520674.752	7598750.572	48416995.64
1	1	1006795.497	192881.825	2674124.656	65336.34979	0	0	0.42	0.52	2426935.743	6895587.008	45925909.48
2	1	949176.2217	162087.1411	3986514.152	68321.13784	0	0	0.42	0.52	2813673.04	8002488.209	54242891.24
3	1	983901.2972	163781.0472	2701776.765	60643.15382	0	0	0.42	0.52	2660154.257	7297799.278	45475317.82
4	1	1051022.327	208457.8211	1919238.955	69356.39144	0	0	0.42	0.52	3567691.982	6789278.886	46240149.68
5	1	936895.4023	143242.4355	3634945.565	71137.9429	0	0	0.42	0.52	3713807.397	7449752.022	52257532.71
6	1	1027307.642	253663.9408	4633497.192	79823.03484	0	0	0.42	0.52	3322412.438	7181401.205	46860952.81
7	1	1025957.81	179092.3705	1814089.753	67239.34194	0	0	0.42	0.52	2651935.131	6548795.098	45519620.46
8	1	1005842.675	164826.5049	2437065.01	62123.22265	0	0	0.42	0.52	2487745.532	7574055.259	46223321.12
9	1	1037074.069	196004.9644	2871780.849	76708.55123	0	0	0.42	0.52	2724442.684	6896259.966	43022291.5
10	1	1037709.284	153816.1151	2051867.064	73845.74565	0	0	0.42	0.52	2408553.498	6880533.853	43813864.74
11	1	1008992.282	250381.9977	2269085.297	78434.13453	0	0	0.42	0.52	2378935.485	7457932.347	47902757.93
12	1	1050095.972	183935.8833	2263951.365	76230.91759	0	0	0.42	0.52	2637037.813	7555041.316	44071999.65
13	1	986362.7545	199022.2347	2725548.701	66559.80501	0	0	0.42	0.52	3002368.286	8522951.236	48112710.12
14	1	1028922.146	217284.6601	2483195.337	72588.68197	0	0	0.42	0.52	2672533.881	7073596.501	45692730.89
												
J_0-ID	type	x	y									
0	0	987269.7511	212859.6752									
1	0	1022659.105	244097.7433									
2	0	1031832.828	254092.4743									
3	0	1006558.17	161902.9483									
4	0	938337.452	152003.8411									
												
I-ID	type	x	y	M_{in0}	M_{in1}							
0	-1	998241.4779	205059.9897	6.858806645	42.13266939							
1	-1	995720.6623	199744.7957	11.33937751	69.65617615							
2	-1	996266.6841	195492.4698	8.393680179	51.56117824							
3	-1	1001856.848	199160.2327	9.325372873	57.28443336							
