J	5											
J_0	2											
I	10											
S	2											
K_f	2											
N	2											
												
J-ID	type	x	y	CL_j	CP_j(6-8W)	CF_j	theta_jk0	theta_jk1	theta_jk2	f_jk0	f_jk1	f_jk2
0	1	1000000	200000	2000000	70000	0	0	0.42	0.52	2500000	7500000	48000000
1	1	1010000	190000	2500000	65000	0	0	0.42	0.52	2400000	6900000	46000000
2	1	950000	160000	3900000	68000	0	0	0.42	0.52	2800000	8000000	54000000
3	1	980000	165000	2700000	60000	0	0	0.42	0.52	2600000	7300000	45000000
4	1	1050000	210000	1900000	69000	0	0	0.42	0.52	3500000	6800000	46000000
												
J_0-ID	type	x	y									
0	0	990000	210000									
1	0	1020000	240000									
												
I-ID	type	x	y	M_{in0}	M_{in1}							
0	-1	998000	205000	6.8	42.1							
1	-1	995000	200000	11.3	69.7							
2	-1	996000	195000	8.4	51.6							
3	-1	1002000	199000	9.3	57.3							
4	-1	985000	192000	4.4	27.1							
5	-1	988000	192000	7.2	44.3							
6	-1	991000	191000	5.8	35.6							
7	-1	994000	190000	5.0	31.0							
8	-1	997000	190000	15.7	96.4							
9	-1	1003000	189000	14.9	91.5							
												
s	 beta_{0s} 	DTs	Q_{s}	r_s(km)	a_{sn0}	a_{sn1}	F_s					
0	-2	2	10	20	1	1	250000					
1	-2.22	0.5	2.26	10	0	1	1000000					
												
B_l	10000000											
B_f	10000000											
beta_{05}	0											
beta_{tt}	1.4											
beta_{tc}	0.0035											
beta_{dt}	0.092											
beta_{dc}	0.34											
lambda_L	0.8											
lambda_F	0.2											
lambda	0.5
